Gene	Alteration	Origin	Entities	Comments	Reference	RefGene Group
14q	Cyto	Somatic	Astro	Loss - poor prognosis	WHO blue books	Neuro
19q	Cyto	Somatic	Oligo	1p/19q codel, often TERT promoter mutant	WHO blue books	Neuro
1p	Cyto	Somatic	Oligo	1p/19q codel, often TERT promoter mutant	WHO blue books	Neuro
chr10	Cyto	Somatic	GBM	Loss	WHO blue books	Neuro
chr7	Cyto	Somatic	GBM	Gain	WHO blue books	Neuro
chr6	Cyto	Somatic	WNT	Monosomy 6 charateristic for WNT subgroup	PMID: 31799776	Paed_MedBlast
GFI1	SV	Somatic	Group 3/4	enhancer hijacker (15%), gene on 1p 	WHO Blue book	Paed_MedBlast
GFI1B	SV	Somatic	Group 3/4	enhancer hijacker (15%), gene on 9q	WHO Blue book	Paed_MedBlast
i17q	Cyto	Somatic	3 and 4	Isochromosome 17 (17q gain) and sometimes with 17p loss	PMID: 31799776	Paed_MedBlast
SNCAIP	SV	Somatic	Group 4	enhancer hijacker, gene on 5q	WHO Blue book	Paed_MedBlast
9p	CYTO	Somatic	LGSOC	loss	WHO blue books	Ovarian
PHOX2B	Indel	Germline	Neuroblastoma	PARM at chr4:41745971 (polyalanine repeat mutation). PolyAla expansion of 5-13 Ala residues (normal x20),  germline, congenital central hypoventilation syndrome (Odine's curse). Manually visualise in IGV.  Minimum of x25 read depth, and only reads that entirley span expansion region can be used to detect expansion  (e-mail from Mat Edwards/Andrew at Royal Brompton Hosp.).	PMID: 31444792	Paed_Neuroblastoma
MYC	SV	Somatic	Neuroblastoma	Enhancer hijacker (amplification rare)	WHO Blue book	Paed_Neuroblastoma
TERT	SV	Somatic	Neuroblastoma	long-range genomic rearrangements, promoter hypermethylation	WHO Blue book	Paed_Neuroblastoma

