Gene	Alteration	Origin	Entities	Comments
A1CF	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	oncogene
ABI1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion
ABL1	Translocation; Missense; ; ; ; 	Somatic; 	[CML, ALL, T-ALL]; []	oncogene, fusion
ABL2	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
ACKR3	Translocation; ; ; ; ; 	Somatic; 	[lipoma]; []	oncogene, fusion
ACSL3	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion
ACSL6	Translocation; ; ; ; ; 	Somatic; 	[AML, AEL]; []	fusion
ACVR1	Missense; ; ; ; ; 	Somatic; 	[DIPG]; []	oncogene
ACVR1B	Deletion; Frameshift; Missense; Nonsense; ; 	Somatic; 	[pancreatic cancer]; []	TSG
ACVR2A	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus]; []	TSG
AFDN	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	oncogene, fusion
AFF1	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	fusion
AFF3	Translocation; ; ; ; ; 	Somatic; 	[ALL, T-ALL]; []	oncogene, fusion
AFF4	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion
AKAP9	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	fusion
AKT1	Missense; ; ; ; ; 	Somatic; 	[breast, colorectal, ovarian, NSCLC]; []	oncogene
AKT2	Amplication; ; ; ; ; 	Somatic; 	[ovarian, pancreatic]; []	oncogene
AKT3	Amplication; ; ; ; ; 	Somatic; 	[GBM]; []	oncogene
ALDH2	Translocation; ; ; ; ; 	Somatic; 	[leiomyoma]; []	fusion
ALK	Translocation; Missense; Amplification; ; ; 	Somatic; Germline	[ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour]; [neuroblastoma]	oncogene, fusion
AMER1	Frameshift; Deletion; Nonsense; Missense; ; 	Somatic; 	[Wilms tumour]; []	TSG
ANK1	Missense; ; ; ; ; 	Somatic; 	[CCRCC]; []	
APC	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS]; [colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS]	TSG
APOBEC3B	Deletion; ; ; ; ; 	; Germline	[]; [breast cancer]	oncogene, TSG
AR	Missense; ; ; ; ; 	Somatic; Germline	[prostate]; []	oncogene
ARAF	Missense; ; ; ; ; 	Somatic; 	[cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis]; []	oncogene
ARHGAP26	Translocation; Frameshift; Splice site; ; ; 	Somatic; 	[AML, MDS]; []	TSG, fusion
ARHGAP35	Nonsense; Missense; Frameshift; Other; ; 	Somatic; 	[endometrial carcinoma]; []	TSG
ARHGAP5	Missense; ; ; ; ; 	Somatic; 	[colon cancer, glioma]; []	oncogene
ARHGEF10	Deletion; ; ; ; ; 	Somatic; 	[colon cancer]; []	TSG
ARHGEF10L	Deletion; ; ; ; ; 	Somatic; 	[lymphoma]; []	TSG
ARHGEF12	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion
ARID1A	Missense; Nonsense; Frameshift; Splice site; Deletion; Translocation	Somatic; 	[clear cell ovarian carcinoma, RCC, breast]; []	TSG, fusion
ARID1B	Missense; Frameshift; Nonsense; Other; ; 	Somatic; 	[breast, hepatocellular carcinoma, clear cell ovarian carcinoma]; []	TSG
ARID2	Nonsense; Splice site; Frameshift; ; ; 	Somatic; 	[hepatocellular carcinoma]; []	TSG
ARNT	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, TSG, fusion
ASPSCR1	Translocation; ; ; ; ; 	Somatic; 	[alveolar soft part sarcoma]; []	fusion
ASXL1	Frameshift; Nonsense; Missense; ; ; 	Somatic; 	[MDS, CMML]; []	TSG
ASXL2	Other; Nonsense; Frameshift; ; ; 	Somatic; 	[melanoma, CCRCC, AML]; []	TSG
ATF1	Translocation; ; ; ; ; 	Somatic; 	[malignant melanoma of soft parts, angiomatoid fibrous histiocytoma]; []	oncogene, fusion
