Gene,Alteration,Origin,Entities,Comments,Reference,RefGene Group
ACVR1,SNV,Somatic,DMG,"[DMG: Gain-of-function mutation and genetic amplification of growth factor receptors involved in brain development are common in H3 p.K28M (K27M)-mutant subtypes, and they are found in PDGFRA (hindbrain, diencephalon, telencephalon), FGFR1 (diencephalon), and ACVR1 (hindbrain).]",WHO blue books,Neuro
ATM,SNV,Somatic,DMG,"[DMG: collaborating subclonal mutations in TP53, PPM1D, ATM have subtype-specific enrichment]",WHO blue books,Neuro
ATRX,LOSS; SV; SNV,Somatic,GBM; Astro; DMG,Mutatually exclusive with TERT promoter; [DMG: 15% of cases show a loss of nuclear ATRX expression],WHO blue books,Neuro
BCOR,SNV; SV,Somatic,BCOR glioma,"BCOR-ITD, BCOR mutation, EP300::BCOR fusion. BCOR gliomas represent distinct methylation profiles, with BCOR fusion and BCOR-ITD as separate entities.",PMID: 36201019,Neuro
BCORL1,SV,Somatic,BCOR glioma,"EP300::BCORL1 fusion. BCOR gliomas represent distinct methylation profiles, with BCOR fusion and BCOR-ITD as separate entities.",PMID: 36201022,Neuro
BRAF,SNV; SV,Somatic,GBM; Oligo; DMG,"V600E in epitheloid GBM, more commonly seen in PXA-like histology; KLHL7::BRAF, potentially relevant fusion in GBM; KIAA1549::BRAF fusion - rare case previously reported in oligodendroglioma;  [DMG: Co-occurrence of H3.3 p.K28M (K27M) and BRAF p.V600E mutations may be observed]",WHO blue books,Neuro
BRCA1,SNV; LOSS,Somatic; Germline,Oligo,Rare germline BRCA1 in oligodendroglioma,WHO blue books,Neuro
CCDC127,SV,Somatic,GBM,"CCDC127::TERT, potentially relevant fusion",WHO blue books,Neuro
CCND2,GAIN,Somatic,GBM; Astro,,WHO blue books,Neuro
CDK4,GAIN,Somatic,GBM; Astro; Oligo,May coexist with CDKN2A deletion; no impact on outcome in oligodendroglioma,WHO blue books,Neuro
CDK6,GAIN,Somatic,GBM,,WHO blue books,Neuro
CDKN2A,LOSS,Somatic,GBM; Astro; Oligo,Mutually exclusive with RB1 alteration; Homozygous loss - poor prognosis in astrocytoma and oligodendroglioma,WHO blue books,Neuro
CDKN2B,LOSS,Somatic,GBM; Astro; Oligo,Homozygous loss - poor prognosis in astrocytoma and oligodendroglioma,WHO blue books,Neuro
CDKN2C,LOSS,Somatic,GBM,,WHO blue books,Neuro
CEP85L,SV,Somatic,GBM,"CEP85L::ROS1, potentially relevant fusion in Glioblastoma",WHO blue books,Neuro
CIC,SNV; LOSS,Somatic,Oligo,Subclonal (tumour progression). LoF mutations and recurrent missense (ex5 and 20),WHO blue books,Neuro
CREBBP,SNV,Somatic,BCOR glioma,CREBBP mutation associated with BCOR gliomas,PMID: 36201020,Neuro
EGFR,SNV; GAIN; SV,Somatic,GBM; Astro; DMG,"[SNV: Extracellular domain mutations, often coexist with EGFR amplification in GBM]; [GAIN: Can coexist with EGFR fusion. Mutally exclusive with FGFR3::TACC3 in GMB]; [GAIN: rare in astrocytoma. SV: Fusion, C-terminal truncation of the autophosphorylation domain; in-frame intragenic deletions encoding either EGFRvIII or alt. transcripts.]; [DMG: subclones with TP53, PPM1D, ATM mutations predominantly in H3.3 p.K28M (K27M)-mutant and EGFR-mutant cases, and PI3K or MAPK (PIK3CA, PIK3R1, PTEN), largely in the H3.1 or H3.2 p.K28M (K27M)-mutant subtype]",WHO blue books,Neuro
EP300,SV,Somatic,BCOR glioma,"EP300::BCOR fusion. BCOR gliomas represent distinct methylation profiles, with BCOR fusion and BCOR-ITD as separate entities.",PMID: 36201021,Neuro
ETV1,SV,Somatic,GBM,"PTPRZ1::ETV1, potentially relevant fusion in GBM",WHO blue books,Neuro
EZH2,SNV,Somatic,GBM,Rare in GBM,WHO blue books,Neuro
