Gene	Alteration	Origin	Entities	Comments	Reference	RefGene Group
A1CF	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ABI1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ABL1	Translocation; Missense; ; ; ; 	Somatic; 	[CML, ALL, T-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ABL2	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ACKR3	Translocation; ; ; ; ; 	Somatic; 	[lipoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ACSL3	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ACSL6	Translocation; ; ; ; ; 	Somatic; 	[AML, AEL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ACVR1	Missense; ; ; ; ; 	Somatic; 	[DIPG]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ACVR1B	Deletion; Frameshift; Missense; Nonsense; ; 	Somatic; 	[pancreatic cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ACVR2A	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AFDN	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AFF1	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AFF3	Translocation; ; ; ; ; 	Somatic; 	[ALL, T-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AFF4	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AKAP9	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AKT1	Missense; ; ; ; ; 	Somatic; 	[breast, colorectal, ovarian, NSCLC]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AKT2	Amplication; ; ; ; ; 	Somatic; 	[ovarian, pancreatic]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AKT3	Amplication; ; ; ; ; 	Somatic; 	[GBM]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ALDH2	Translocation; ; ; ; ; 	Somatic; 	[leiomyoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ALK	Translocation; Missense; Amplification; ; ; 	Somatic; Germline	[ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour]; [neuroblastoma]	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AMER1	Frameshift; Deletion; Nonsense; Missense; ; 	Somatic; 	[Wilms tumour]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ANK1	Missense; ; ; ; ; 	Somatic; 	[CCRCC]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
APC	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS]; [colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
APOBEC3B	Deletion; ; ; ; ; 	; Germline	[]; [breast cancer]	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AR	Missense; ; ; ; ; 	Somatic; Germline	[prostate]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARAF	Missense; ; ; ; ; 	Somatic; 	[cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARHGAP26	Translocation; Frameshift; Splice site; ; ; 	Somatic; 	[AML, MDS]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARHGAP35	Nonsense; Missense; Frameshift; Other; ; 	Somatic; 	[endometrial carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARHGAP5	Missense; ; ; ; ; 	Somatic; 	[colon cancer, glioma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARHGEF10	Deletion; ; ; ; ; 	Somatic; 	[colon cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARHGEF10L	Deletion; ; ; ; ; 	Somatic; 	[lymphoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARHGEF12	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARID1A	Missense; Nonsense; Frameshift; Splice site; Deletion; Translocation	Somatic; 	[clear cell ovarian carcinoma, RCC, breast]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARID1B	Missense; Frameshift; Nonsense; Other; ; 	Somatic; 	[breast, hepatocellular carcinoma, clear cell ovarian carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARID2	Nonsense; Splice site; Frameshift; ; ; 	Somatic; 	[hepatocellular carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ARNT	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ASPSCR1	Translocation; ; ; ; ; 	Somatic; 	[alveolar soft part sarcoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ASXL1	Frameshift; Nonsense; Missense; ; ; 	Somatic; 	[MDS, CMML]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ASXL2	Other; Nonsense; Frameshift; ; ; 	Somatic; 	[melanoma, CCRCC, AML]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ATF1	Translocation; ; ; ; ; 	Somatic; 	[malignant melanoma of soft parts, angiomatoid fibrous histiocytoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ATIC	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ATM	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[T-PLL]; [leukaemia, lymphoma, medulloblastoma, glioma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ATP1A1	Missense; Other; ; ; ; 	Somatic; 	[adrenal aldosterone producing adenoma]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ATP2B3	Other; ; ; ; ; 	Somatic; 	[adrenal aldosterone producing adenoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ATR	Frameshift; Missense; ; ; ; 	Somatic; Germline	[endometrial, gastric, epithelial ovarian, myeloma]; [oropharyngeal]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ATRX	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[pancreatic neuroendocrine tumours, paediatric GBM]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AXIN1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; 	[colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
AXIN2	Missense; Frameshift; Nonsense; ; ; 	Somatic; Germline	[colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma]; [colorectal carcinoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
B2M	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[DLBCL, melanoma, colorectal adenocarcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BAP1	Nonsense; Missense; Frameshift; Splice site; Other; 	Somatic; Germline	[uveal melanoma, breast, NSCLC, RCC]; [mesothelioma, skin and uveal melanoma, kidney cancer]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BARD1	Missense; ; ; ; ; 	Somatic; Germline	[breast cancer]; [ovarian cancer, breast cancer, endometrioid cancer]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BAX	Frameshift; Missense; ; ; ; 	Somatic; 	[colorectal cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BAZ1A	Deletion; ; ; ; ; 	Somatic; 	[uterine carcinosarcoma, colon cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL10	Translocation; ; ; ; ; 	Somatic; 	[MALT]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL11A	Translocation; ; ; ; ; 	Somatic; 	[B-CLL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL11B	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL2	Translocation; ; ; ; ; 	Somatic; 	[NHL, CLL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL2L12	Missense; ; ; ; ; 	Somatic; 	[melanoma, SCC]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL3	Translocation; ; ; ; ; 	Somatic; 	[CLL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL6	Translocation; Missense; ; ; ; 	Somatic; 	[NHL, CLL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL7A	Translocation; ; ; ; ; 	Somatic; 	[BNHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL9	Translocation; ; ; ; ; 	Somatic; 	[B-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCL9L	Missense; Frameshift; ; ; ; 	Somatic; 	[colorectal cancer, endometrial carcinoma, gastric cancer]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCLAF1	Missense; ; ; ; ; 	Somatic; 	[melanoma, SCC]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCOR	Frameshift; Nonsense; Splice site; Translocation; ; 	Somatic; 	[retinoblastoma, AML, APL (translocation)]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCORL1	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[AML, HNSCC]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BCR	Translocation; ; ; ; ; 	Somatic; 	[CML, ALL, AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BIRC3	Deletion; Frameshift; Nonsense; Translocation; Missense; 	Somatic; 	[CLL, MALT, MCL, MM]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BIRC6	Translocation; Missense; ; ; ; 	Somatic; 	[melanoma, gastric adenocarcinoma, lung adenocarcinoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BLM	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [leukaemia, lymphoma, skin squamous cell, other tumour types]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BMP5	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BMPR1A	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [gastrointestinal polyps]	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BRAF	Missense; Translocation; Other; ; ; 	Somatic; 	[melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BRCA1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[ovarian]; [breast, ovarian]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BRCA2	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[breast, ovarian, pancreatic]; [breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BRD3	Translocation; ; ; ; ; 	Somatic; 	[lethal midline carcinoma of young people]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BRD4	Translocation; ; ; ; ; 	Somatic; 	[lethal midline carcinoma of young people]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BRIP1	Frameshift; Nonsense; Missense; ; ; 	; Germline	[]; [AML, leukaemia, breast]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BTG1	Translocation; ; ; ; ; 	Somatic; 	[B-CLL]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BTG2	Missense; ; ; ; ; 	Somatic; 	[DLBCL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BTK	Missense; ; ; ; ; 	Somatic; 	[CLL, mantle cell lymphoma, WM]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
BUB1B	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [rhabdomyosarcoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
C15orf65	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
CACNA1D	Missense; ; ; ; ; 	Somatic; 	[adrenal aldosterone producing adenoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
CALR	Frameshift; Missense; ; ; ; 	Somatic; 	[MPN, MDS]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
